"5","2017-1-11","2017-6-6","1"
"6","2017-1-9","2017-4-9","1"
"7","2017-1-16","2017-5-21","1"
"8","2017-1-25","2017-7-2","1"
"9","2017-2-19","2017-6-10","1"
"10","2017-7-7","2017-11-18","1"
"11","2017-1-21","2017-3-18","1"
"12","2017-8-9","2017-9-6","1"
"13","2017-1-15","2017-6-1","1"
"14","2017-7-9","2017-9-6","1"
"15","2017-4-12","2017-5-6","1"
"16","2017-4-20","2017-8-26","1"
"17","2017-7-1","2017-7-15","1"
"18","2017-1-15","2017-5-7","1"
"19","2017-1-22","2017-3-12","1"
"20","2017-1-8","2017-2-16","1"
"21","2017-1-5","2017-4-25","1"
"22","2017-1-5","2017-1-11","1"
"23","2017-1-1","2017-1-10","1"
"24","2017-4-24","2017-7-16","1"
"25","2017-1-21","2017-6-5","1"
"26","2017-4-27","2017-12-21","1"
"27","2017-1-11","2017-2-20","1"
"28","2017-1-25","2017-4-27","1"
"29","2017-3-1","2017-3-10","1"
"30","2017-1-23","2017-6-22","1"
"31","2017-1-13","2017-2-22","1"
"32","2017-7-14","2017-8-24","1"
"33","2017-1-18","2017-2-3","1"
"34","2017-7-5","2017-8-18","1"
"35","2017-1-3","2017-3-26","1"
"36","2017-1-13","2017-4-9","1"
"37","2017-1-1","2017-3-3","1"
"38","2017-1-24","2017-3-10","1"
"39","2017-5-6","2017-9-13","1"
"40","2017-1-20","2017-2-27","1"
"41","2017-1-2","2017-6-23","1"
"42","2017-4-10","2017-5-7","1"
"43","2017-8-22","2017-11-4","1"
"44","2017-1-14","2017-3-3","1"
"45","2017-1-7","2017-1-24","1"
"46","2017-1-4","2017-4-25","1"
"47","2017-1-26","2017-2-14","1"
"48","2017-2-18","2017-6-17","1"
"49","2017-6-13","2017-10-20","1"
"50","2017-1-24","2017-8-22","1"
"51","2017-1-19","2017-7-5","1"
"52","2017-2-2","2017-12-3","1"
"53","2017-1-26","2017-3-16","1"
"54","2017-11-1","2017-11-10","1"
"55","2017-1-3","2017-5-28","1"
"56","2017-8-26","2017-10-8","1"
"57","2017-10-13","2017-10-16","1"
"58","2017-9-20","2017-11-6","1"
"59","2017-7-6","2017-11-20","1"
"60","2017-1-20","2017-9-28","1"
"61","2017-1-1","2017-1-10","1"
"62","2017-1-5","2017-4-9","1"
"63","2017-3-4","2017-4-1","1"
"64","2017-1-5","2017-2-15","1"
"65","2017-3-6","2017-7-18","1"
"66","2017-1-22","2017-4-23","1"
"67","2017-1-26","2017-4-28","1"
"68","2017-1-22","2017-10-21","1"
"69","2017-7-17","2017-10-19","1"
"70","2017-3-28","2017-8-3","1"
"71","2017-4-23","2017-9-10","1"
"72","2017-4-8","2017-4-24","1"
"73","2017-1-2","2017-4-2","1"
"74","2017-1-4","2017-5-17","1"
"75","2017-2-18","2017-4-4","1"
"76","2017-1-18","2017-7-26","1"
"77","2017-3-13","2017-5-18","1"
"78","2017-1-24","2017-8-3","1"
"79","2017-2-6","2017-9-6","1"
"80","2017-1-16","2017-6-24","1"
"81","2017-1-1","2017-3-11","1"
"82","2017-2-27","2017-7-16","1"
"83","2017-2-22","2017-10-6","1"
"84","2017-3-14","2017-12-4","1"
"85","2017-3-17","2017-5-8","1"
"86","2017-1-11","2017-2-2","1"
"87","2017-2-4","2017-7-15","1"
"88","2017-1-11","2017-2-6","1"
"89","2017-9-21","2017-10-23","1"
"90","2017-1-27","2017-6-15","1"
"91","2017-1-1","2017-11-7","1"
"92","2017-4-21","2017-7-12","1"
"93","2017-1-8","2017-6-20","1"
"94","2017-1-1","2017-1-10","1"
"95","2017-7-1","2017-7-10","1"
"96","2017-1-14","2017-3-8","1"
"97","2017-1-18","2017-7-24","1"
"98","2017-7-26","2017-10-10","1"
"99","2017-7-28","2017-8-23","1"
"100","2017-5-4","2017-11-17","1"
"101","2017-2-16","2017-10-7","1"
"102","2017-2-13","2017-11-2","1"
"103","2017-3-7","2017-12-10","1"
"104","2017-8-10","2017-9-3","1"
"105","2017-5-17","2017-9-25","1"
"106","2017-4-2","2017-6-2","1"
"107","2017-1-12","2017-2-20","1"
"108","2017-1-1","2017-1-10","1"
"109","2017-1-16","2017-5-9","1"
"110","2017-1-1","2017-1-7","1"
"111","2017-3-9","2017-11-27","1"
"112","2017-2-23","2017-4-10","1"
"113","2017-1-23","2017-1-23","1"
"114","2017-1-12","2017-7-14","1"
"115","2017-4-7","2017-8-11","1"
"116","2017-9-24","2017-10-6","1"
"117","2017-8-12","2017-10-18","1"
"118","2017-1-27","2017-1-27","1"
"119","2017-7-15","2017-9-6","1"
"120","2017-1-1","2017-7-20","1"
"121","2017-5-17","2017-11-3","1"
"122","2017-1-2","2017-5-1","1"
"123","2017-1-1","2017-1-10","1"
"124","2017-1-1","2017-1-10","1"
"125","2017-1-3","2017-1-25","1"
"126","2017-3-26","2017-9-4","1"
"127","2017-1-16","2017-10-6","1"
"128","2017-4-26","2017-9-15","1"
"129","2017-1-16","2017-3-13","1"
"130","2017-9-11","2017-11-18","1"
"131","2017-1-14","2017-5-9","1"
"132","2017-1-25","2017-3-20","1"
"133","2017-1-14","2017-4-13","1"
"134","2017-1-25","2017-5-16","1"
"135","2017-1-11","2017-6-27","1"
"136","2017-7-25","2017-9-22","1"
"137","2017-3-2","2017-5-9","1"
"138","2017-1-1","2017-1-10","1"
"139","2017-1-22","2017-4-2","1"
"140","2017-8-28","2017-10-24","1"
"141","2017-1-13","2017-10-22","1"
"142","2017-1-23","2017-8-25","1"
"143","2017-1-18","2017-2-13","1"
"144","2017-1-23","2017-8-4","1"
"145","2017-7-10","2017-10-17","1"
"146","2017-1-20","2017-4-16","1"
"147","2017-2-9","2017-11-1","1"
"148","2017-1-24","2017-8-5","1"
"149","2017-1-23","2017-3-28","1"
