"1","1"
"2","3"
"3","2"
"4","4"
"5","3"
"6","4"
"7","4"
"8","4"
"9","3"
"10","3"
"11","4"
"12","3"
"13","4"
"14","4"
"15","4"
"16","4"
"17","4"
"18","3"
"19","3"
"20","3"
"21","3"
"22","4"
"23","3"
"24","3"
"25","3"
"26","3"
"27","4"
"28","3"
"29","4"
"30","3"
"31","3"
"32","3"
"33","4"
"34","4"
"35","3"
"36","4"
"37","3"
"38","4"
"39","3"
"40","3"
"41","3"
"42","4"
"43","4"
"44","3"
"45","3"
"46","4"
"47","3"
"48","3"
"49","3"
"50","3"
"51","4"
"52","3"
"53","4"
"54","4"
"55","3"
"56","4"
"57","4"
"58","4"
"59","3"
"60","4"
"61","3"
"62","3"
"63","4"
"64","4"
"65","4"
"66","4"
"67","3"
"68","3"
"69","4"
"70","3"
"71","3"
"72","4"
"73","3"
"74","4"
"75","4"
"76","3"
"77","3"
"78","4"
"79","3"
"80","3"
"81","4"
"82","4"
"83","3"
"84","3"
"85","4"
"86","3"
"87","3"
"88","3"
"89","4"
"90","3"
"91","4"
"92","4"
"93","4"
"94","3"
"95","4"
"96","4"
"97","3"
"98","4"
"99","3"
"100","3"
"101","4"
"102","3"
"103","4"
"104","3"
"105","3"
"106","3"
"107","4"
"108","4"
"109","4"
"110","4"
"111","3"
"112","3"
"113","4"
"114","3"
"115","3"
"116","4"
"117","3"
"118","4"
"119","3"
"120","4"
"121","3"
"122","3"
"123","4"
"124","4"
"125","3"
"126","3"
"127","3"
"128","3"
"129","4"
"130","3"
"131","4"
"132","4"
"133","4"
"134","3"
"135","3"
"136","3"
"137","4"
"138","4"
"139","4"
"140","4"
"141","3"
"142","3"
"143","4"
"144","3"
"145","3"
"146","3"
"147","3"
"148","4"
"149","4"
"150","3"
"151","4"
"152","4"
"153","4"
"154","4"
"155","3"
"156","4"
"157","3"
"158","3"
"159","3"
"160","4"
"161","3"
"162","4"
"163","3"
"164","4"
"165","4"
"166","3"
"167","4"
"168","3"
"169","3"
"170","3"
"171","3"
"172","3"
"173","3"
"174","3"
"175","4"
"176","3"
"177","4"
"178","4"
"179","4"
"180","3"
"181","4"
"182","4"
"183","3"
"184","3"
"185","4"
"186","3"
"187","3"
"188","3"
"189","4"
"190","4"
"191","4"
"192","4"
