"1","4468","Designer"
"1","4657","Designer"
"1","4003","Electrician"
"1","581","Programer"
"2","2897","Designer"
"2","4377","Marketing"
"3","4396","Programer"
"4","1505","Electrician"
"4","3344","Programer"
"4","185","Electrician"
"4","3853","Marketing"
"4","240","Programer"
"5","4863","Electrician"
"5","1292","Marketing"
"6","849","Marketing"
"6","355","Cleaner"
"6","4801","Cleaner"
"6","378","Cleaner"
"6","2751","Programer"
"7","3987","Programer"
"8","2716","Programer"
"8","4569","Designer"
"8","3464","Designer"
"8","4047","Designer"
"8","1071","Marketing"
"8","2057","Designer"
"8","4469","Electrician"
"8","137","Cleaner"
"8","3296","Electrician"
"9","2516","Cleaner"
"9","2489","Electrician"
"9","4702","Programer"
"9","99","Marketing"
"9","2033","Electrician"
"9","1625","Cleaner"
"9","4791","Cleaner"
"9","1319","Programer"
"9","2492","Programer"
"10","4573","Programer"
"10","2984","Electrician"
"10","3779","Designer"
"11","411","Cleaner"
"11","3974","Marketing"
"11","3973","Programer"
"11","2942","Cleaner"
"11","4639","Electrician"
"12","39","Programer"
"12","1804","Electrician"
"12","3972","Programer"
"12","2509","Cleaner"
"12","2656","Marketing"
"12","4515","Designer"
"12","4020","Cleaner"
"12","4008","Marketing"
"12","4821","Programer"
"13","1463","Electrician"
"13","46","Marketing"
"13","4733","Cleaner"
"13","3317","Electrician"
"13","2390","Electrician"
"13","234","Electrician"
"14","3683","Electrician"
"14","510","Designer"
"14","3073","Designer"
"14","4628","Programer"
"14","2245","Designer"
"14","2142","Cleaner"
"14","1730","Electrician"
"14","3843","Cleaner"
"14","1093","Marketing"
"14","3613","Designer"
"15","142","Marketing"
"16","752","Marketing"
"16","3302","Programer"
"17","4974","Marketing"
"17","62","Marketing"
"17","1660","Designer"
"18","3166","Programer"
"18","3732","Marketing"
"18","1648","Designer"
"19","643","Designer"
"19","4574","Designer"
"19","113","Designer"
"19","1453","Marketing"
"19","1700","Designer"
"19","200","Programer"
"19","1890","Electrician"
"19","2095","Designer"
"20","3266","Electrician"
"20","1444","Electrician"
"20","2534","Cleaner"
"20","1385","Electrician"
"20","4749","Cleaner"
"20","1719","Marketing"
"21","4205","Programer"
"21","803","Designer"
"21","977","Programer"
"21","4048","Marketing"
"21","2781","Marketing"
"21","3640","Cleaner"
"22","3489","Cleaner"
"22","120","Electrician"
"22","1792","Marketing"
"22","2958","Electrician"
"22","1396","Designer"
"22","2294","Programer"
"22","2954","Electrician"
"23","1961","Programer"
"23","2517","Marketing"
"24","4196","Designer"
"24","734","Electrician"
"24","516","Cleaner"
"25","3336","Designer"
