(5, 6, 0)
(5, 10, 0)
(6, 12, 0)
(6, 8, 0)
(7, 5, 0)
(7, 10, 0)
(8, 4, 0)
(8, 5, 0)
(9, 12, 0)
(9, 4, 0)
(10, 14, 0)
(10, 10, 0)
(11, 1, 0)
(11, 11, 0)
(12, 6, 0)
(12, 13, 0)
(13, 10, 0)
(13, 7, 0)
(14, 2, 0)
(14, 1, 0)
(15, 7, 0)
(15, 14, 0)
(16, 9, 0)
(16, 11, 0)
(17, 5, 0)
(17, 9, 0)
(18, 9, 0)
(18, 4, 0)
(19, 7, 0)
(19, 1, 0)
(20, 13, 0)
(20, 14, 0)
(21, 1, 0)
(21, 12, 0)
(22, 12, 0)
(22, 1, 0)
(23, 9, 0)
(23, 13, 0)
(24, 1, 0)
(24, 2, 0)
(25, 7, 0)
(25, 5, 0)
(26, 5, 0)
(26, 13, 0)
(27, 12, 0)
(27, 13, 0)
(28, 4, 0)
(28, 6, 0)
(29, 10, 0)
(29, 11, 0)
(30, 13, 0)
(30, 8, 0)
(31, 5, 0)
(31, 13, 0)
(32, 5, 0)
(32, 8, 0)
(33, 2, 0)
(33, 12, 0)
(34, 9, 0)
(34, 13, 0)
(35, 5, 0)
(35, 14, 0)
(36, 1, 0)
(36, 6, 0)
(37, 3, 0)
(37, 4, 0)
(38, 9, 0)
(38, 11, 0)
(39, 7, 0)
(39, 14, 0)
(40, 7, 0)
(40, 4, 0)
(41, 5, 0)
(41, 14, 0)
(42, 10, 0)
(42, 11, 0)
(43, 1, 0)
(43, 3, 0)
(44, 6, 0)
(44, 2, 0)
(45, 7, 0)
(45, 5, 0)
(46, 5, 0)
(46, 1, 0)
(47, 4, 0)
(47, 2, 0)
(48, 13, 0)
(48, 14, 0)
(49, 9, 0)
(49, 8, 0)
(50, 10, 0)
(50, 3, 0)
(51, 8, 0)
(51, 5, 0)
(52, 10, 0)
(52, 12, 0)
(53, 8, 0)
(53, 12, 0)
(54, 3, 0)
(54, 11, 0)
(55, 12, 0)
(55, 5, 0)
(56, 3, 0)
(56, 2, 0)
(57, 8, 0)
(57, 12, 0)
